PLAYER,ROUND,OPPONENT NAME,PTS,MIN,FOULS,TL MADE,TL ATTEMPTED,2PT MADE,2PT ATTEMPTED,3PT MADE,3PT ATTEMPTED
Lucia Moreno,11,JOVENTUT LES CORTS GROC,0,20,1,0,0,0,0,0,0
Julia Muliterno,11,JOVENTUT LES CORTS GROC,4,19,0,2,4,1,1,0,0
Claudia Diaz,12,EL MASNOU BASQUETBOL,11,22,2,1,4,5,5,0,0
Berta Sender,12,EL MASNOU BASQUETBOL,10,22,1,2,2,1,1,2,2
Carlota Alfaro,12,EL MASNOU BASQUETBOL,15,20,3,1,2,7,7,0,0
Lucia Moreno,12,EL MASNOU BASQUETBOL,0,20,3,0,0,0,0,0,0
Julia Muliterno,12,EL MASNOU BASQUETBOL,3,24,3,1,8,1,1,0,0
Claudia Diaz,13,DIAGONAL MAR FRONT MARITIM NEGRE,7,22,3,3,8,2,2,0,0
Berta Sender,13,DIAGONAL MAR FRONT MARITIM NEGRE,8,20,3,0,0,1,1,2,2
Lavinia Gelofre,13,DIAGONAL MAR FRONT MARITIM NEGRE,4,22,2,0,0,2,2,0,0
Carlota Alfaro,13,DIAGONAL MAR FRONT MARITIM NEGRE,8,24,3,2,3,3,3,0,0
Lucia Moreno,13,DIAGONAL MAR FRONT MARITIM NEGRE,8,16,0,1,2,2,2,1,1
Claudia Diaz,14,CB IPSI A,7,22,2,3,4,2,2,0,0
Berta Sender,14,CB IPSI A,10,25,1,4,4,0,0,2,2
Lavinia Gelofre,14,CB IPSI A,8,24,2,0,0,1,1,2,2
Carlota Alfaro,14,CB IPSI A,8,22,1,1,3,2,2,1,1
Lucia Moreno,14,CB IPSI A,5,18,2,1,4,2,2,0,0
Claudia Diaz,15,U.E. CLARET A,12,24,4,2,2,5,5,0,0
Berta Sender,15,U.E. CLARET A,17,28,2,0,0,1,1,5,5
Lavinia Gelofre,15,U.E. CLARET A,1,21,3,1,2,0,0,0,0
Carlota Alfaro,15,U.E. CLARET A,13,23,3,5,6,4,4,0,0
Lucia Moreno,15,U.E. CLARET A,7,17,2,3,4,2,2,0,0
Julia Muliterno,15,U.E. CLARET A,11,21,0,1,2,5,5,0,0
Claudia Diaz,16,DRAFT GRAMENET,10,22,2,2,2,4,4,0,0
Berta Sender,16,DRAFT GRAMENET,7,25,1,2,4,1,1,1,1
Lavinia Gelofre,16,DRAFT GRAMENET,9,23,1,4,6,1,1,1,1
Carlota Alfaro,16,DRAFT GRAMENET,6,17,5,2,4,2,2,0,0
Lucia Moreno,16,DRAFT GRAMENET,10,23,2,0,0,2,2,2,2
Julia Muliterno,16,DRAFT GRAMENET,0,22,0,0,0,0,0,0,0
Berta Sender,17,CÀMPING BIANYA ROSER B,7,25,1,1,2,3,3,0,0
Lavinia Gelofre,17,CÀMPING BIANYA ROSER B,6,20,2,0,0,3,3,0,0
Carlota Alfaro,17,CÀMPING BIANYA ROSER B,12,25,4,1,2,4,4,1,1
Lucia Moreno,17,CÀMPING BIANYA ROSER B,3,15,1,3,4,0,0,0,0
Julia Muliterno,17,CÀMPING BIANYA ROSER B,0,23,2,0,4,0,0,0,0
Berta Sender,18,BASQUET NEUS A,13,23,2,0,0,2,2,3,3
Lavinia Gelofre,18,BASQUET NEUS A,9,18,3,0,0,3,3,1,1
Carlota Alfaro,18,BASQUET NEUS A,16,26,2,1,2,3,3,3,3
Lucia Moreno,18,BASQUET NEUS A,4,14,1,2,2,1,1,0,0
Julia Muliterno,18,BASQUET NEUS A,5,24,0,1,2,2,2,0,0
Claudia Diaz,19,TIR BAGES - C.B ESPARREGUERA,4,14,4,0,0,2,2,0,0
Berta Sender,19,TIR BAGES - C.B ESPARREGUERA,4,21,0,0,0,2,2,0,0
Lavinia Gelofre,19,TIR BAGES - C.B ESPARREGUERA,19,21,1,0,2,2,2,5,5
Carlota Alfaro,19,TIR BAGES - C.B ESPARREGUERA,17,27,3,5,6,3,3,2,2
Lucia Moreno,19,TIR BAGES - C.B ESPARREGUERA,6,20,3,4,6,1,1,0,0
Julia Muliterno,19,TIR BAGES - C.B ESPARREGUERA,2,23,3,0,2,1,1,0,0
Claudia Diaz,20,FC MARTINENC BÀSQUET A,10,18,3,0,4,5,5,0,0
Berta Sender,20,FC MARTINENC BÀSQUET A,0,18,0,0,0,0,0,0,0
Lavinia Gelofre,20,FC MARTINENC BÀSQUET A,12,24,0,2,2,2,2,2,2
Carlota Alfaro,20,FC MARTINENC BÀSQUET A,12,19,2,7,8,1,1,1,1
Lucia Moreno,20,FC MARTINENC BÀSQUET A,6,21,1,3,8,0,0,1,1
Martina Ferran,20,FC MARTINENC BÀSQUET A,3,10,3,1,2,1,1,0,0
Julia Muliterno,20,FC MARTINENC BÀSQUET A,1,20,0,1,2,0,0,0,0
Claudia Diaz,21,GRAMENET BC,4,18,3,0,0,2,2,0,0
Berta Sender,21,GRAMENET BC,10,20,2,1,2,0,0,3,3
Carlota Alfaro,21,GRAMENET BC,14,18,1,2,3,6,6,0,0
Lucia Moreno,21,GRAMENET BC,5,22,2,1,2,2,2,0,0
Martina Ferran,21,GRAMENET BC,1,12,3,1,2,0,0,0,0
Julia Muliterno,21,GRAMENET BC,2,29,2,2,2,0,0,0,0
Claudia Diaz,22,ARBRE TEAM - CB IGUALADA SFB,10,17,4,2,2,4,4,0,0
Berta Sender,22,ARBRE TEAM - CB IGUALADA SFB,18,28,2,6,8,0,0,4,4
Lavinia Gelofre,22,ARBRE TEAM - CB IGUALADA SFB,8,23,3,1,2,2,2,1,1
Carlota Alfaro,22,ARBRE TEAM - CB IGUALADA SFB,4,21,4,2,2,1,1,0,0
Lucia Moreno,22,ARBRE TEAM - CB IGUALADA SFB,4,20,4,2,4,1,1,0,0
Martina Ferran,22,ARBRE TEAM - CB IGUALADA SFB,7,17,2,1,1,3,3,0,0
Julia Muliterno,22,ARBRE TEAM - CB IGUALADA SFB,2,23,2,0,0,1,1,0,0
Claudia Diaz,23,PROMOVIATGES CBF CERDANYOLA B,7,14,3,3,4,2,2,0,0
Berta Sender,23,PROMOVIATGES CBF CERDANYOLA B,3,28,2,0,0,0,0,1,1
Lavinia Gelofre,23,PROMOVIATGES CBF CERDANYOLA B,14,25,2,3,6,1,1,3,3
Carlota Alfaro,23,PROMOVIATGES CBF CERDANYOLA B,22,27,2,2,3,7,7,2,2
Lucia Moreno,23,PROMOVIATGES CBF CERDANYOLA B,4,14,0,1,2,0,0,1,1
Martina Ferran,23,PROMOVIATGES CBF CERDANYOLA B,0,13,1,0,0,0,0,0,0
Julia Muliterno,23,PROMOVIATGES CBF CERDANYOLA B,2,27,1,0,0,1,1,0,0
Claudia Diaz,24,JOVENTUT LES CORTS GROC,4,22,2,2,2,1,1,0,0
Berta Sender,24,JOVENTUT LES CORTS GROC,2,10,2,2,2,0,0,0,0
Lavinia Gelofre,24,JOVENTUT LES CORTS GROC,8,15,2,0,0,4,4,0,0
Carlota Alfaro,24,JOVENTUT LES CORTS GROC,11,22,4,0,0,4,4,1,1
Lucia Moreno,24,JOVENTUT LES CORTS GROC,5,18,1,2,4,0,0,1,1
Julia Muliterno,24,JOVENTUT LES CORTS GROC,4,24,0,0,0,2,2,0,0
Claudia Diaz,25,EL MASNOU BASQUETBOL,8,19,4,0,0,4,4,0,0
Berta Sender,25,EL MASNOU BASQUETBOL,16,23,1,0,0,2,2,4,4
Carlota Alfaro,25,EL MASNOU BASQUETBOL,9,16,2,0,0,3,3,1,1
Lucia Moreno,25,EL MASNOU BASQUETBOL,5,26,1,0,0,1,1,1,1
Julia Muliterno,25,EL MASNOU BASQUETBOL,4,21,0,0,0,2,2,0,0
Claudia Diaz,26,DIAGONAL MAR FRONT MARITIM NEGRE,0,10,5,0,0,0,0,0,0
Berta Sender,26,DIAGONAL MAR FRONT MARITIM NEGRE,2,19,1,0,0,1,1,0,0
Lavinia Gelofre,26,DIAGONAL MAR FRONT MARITIM NEGRE,6,26,3,0,2,3,3,0,0
Carlota Alfaro,26,DIAGONAL MAR FRONT MARITIM NEGRE,20,22,2,5,7,6,6,1,1
Lucia Moreno,26,DIAGONAL MAR FRONT MARITIM NEGRE,3,18,3,1,2,1,1,0,0
Martina Ferran,26,DIAGONAL MAR FRONT MARITIM NEGRE,9,18,4,1,4,4,4,0,0
Julia Muliterno,26,DIAGONAL MAR FRONT MARITIM NEGRE,6,24,2,2,4,2,2,0,0
Claudia Diaz,27,ODONTOMED JET TERRASSA,2,16,2,0,0,1,1,0,0
Berta Sender,27,ODONTOMED JET TERRASSA,3,23,1,0,0,0,0,1,1
Lavinia Gelofre,27,ODONTOMED JET TERRASSA,18,24,0,8,10,2,2,2,2
Carlota Alfaro,27,ODONTOMED JET TERRASSA,6,24,5,2,4,2,2,0,0
Lucia Moreno,27,ODONTOMED JET TERRASSA,3,16,3,1,2,1,1,0,0
Martina Ferran,27,ODONTOMED JET TERRASSA,0,16,2,0,0,0,0,0,0
Julia Muliterno,27,ODONTOMED JET TERRASSA,6,24,2,2,2,2,2,0,0
Claudia Diaz,28,CB BLANES A,7,22,3,1,2,3,3,0,0
Berta Sender,28,CB BLANES A,4,14,0,2,3,1,1,0,0
Lavinia Gelofre,28,CB BLANES A,6,21,2,0,0,0,0,2,2
Carlota Alfaro,28,CB BLANES A,10,26,1,0,0,2,2,2,2
Lucia Moreno,28,CB BLANES A,3,15,4,0,0,0,0,1,1
Martina Ferran,28,CB BLANES A,3,16,0,1,4,1,1,0,0
Julia Muliterno,28,CB BLANES A,0,20,3,0,0,0,0,0,0
Irene Parra,0,CEJ L'HOSPITALET A,7,30,4,2,5,1,5,1,2
Irene Parra,0,CB PARETS NEGRE,16,28,1,4,9,6,8,0,0
Mar Lopez,0,INTERSPORT OLARIA - SAMÀ VILANOVA U18FN,8,26,2,2,2,3,3,0,0
Judith Gispert,0,BASQUET NEUS A,2,19,2,0,0,1,1,0,0
Mar Lopez,0,C.B. PRAT - MONTIBELLO A,11,20,4,3,6,4,4,0,0
Irene Parra,0,TALENOM BOET MATARÓ 2007,0,23,4,0,2,0,5,0,1
Judith Gispert,0,U.E. HORTA,6,23,0,0,0,3,3,0,0
Sara Besa,0,JOVENTUT LES CORTS,0,4,0,0,0,0,0,0,0
Mar Lopez,0,AB VENDRELL,7,22,5,1,4,3,3,0,0
Sara Besa,0,PETROPINTO ASFE A,0,9,1,0,0,0,1,0,0
Irene Parra,0,DISHELEC 65 VILABÀSQUET VILADECANS,5,24,1,1,1,2,5,0,0
Judith Gispert,0,FC MARTINENC BÀSQUET A,2,12,2,2,4,0,0,0,0
Irene Parra,0,U18 JOVENTUT LES CORTS,6,25,3,0,4,3,9,0,0
Mar Lopez,0,CB TARRAGONA,9,24,2,2,2,2,2,1,1
Judith Gispert,0,GRAMENET BC,0,11,4,0,0,0,0,0,0
Sara Besa,0,INTERSPORT OLARIA - SAMÀ VILANOVA SAF,0,7,0,0,0,0,0,0,0
Sara Besa,0,CBU LLORET RECREATIVOS LLORET,0,14,0,0,0,0,1,0,0
Irene Parra,0,UMANRESA - MANRESA CBF U18,6,24,2,2,10,2,14,0,0
Mar Lopez,0,C.E. XAMBA,10,23,2,0,0,2,2,2,2
Judith Gispert,0,ARBRE TEAM - CB IGUALADA SFB,8,23,3,3,4,1,1,1,1
Irene Parra,0,TGN BÀSQUET 07A,6,27,2,4,6,1,5,0,0
Mar Lopez,0,TGN BÀSQUET 07-08A,13,17,0,1,1,3,3,2,2
Judith Gispert,0,PROMOVIATGES CBF CERDANYOLA B,1,17,3,1,2,0,0,0,0
Sara Besa,0,MUSEU DEL COMIC - CASTELLDEFELS A,4,12,2,0,0,2,3,0,0
Irene Parra,0,CEJ L'HOSPITALET A,0,28,2,0,2,0,1,0,0
Irene Parra,0,CB PARETS NEGRE,4,20,3,0,0,2,3,0,0
Sara Besa,0,CB GRANOLLERS 1,0,10,1,0,0,0,2,0,1
Mar Lopez,0,CB MONTPEDRÓS,13,24,2,0,0,5,5,1,1
Sara Besa,0,GEIEG VEDRUNA OTIS,2,8,2,0,2,1,2,0,0
Irene Parra,0,DISHELEC 65 VILABÀSQUET VILADECANS,5,25,3,1,2,2,5,0,0
Judith Gispert,0,EL MASNOU BASQUETBOL,8,21,1,4,6,2,2,0,0
Mar Lopez,0,CB VILADECANS VERD,12,21,4,1,4,4,4,1,1
Sara Besa,0,BÀSQUET SAFA CLAROR A,0,4,0,0,0,0,4,0,0
Mar Lopez,0,BÀSQUET SANT SADURNÍ GROC,10,20,3,4,4,3,3,0,0
Judith Gispert,0,DIAGONAL MAR FRONT MARITIM NEGRE,1,9,4,1,2,0,0,0,0
Irene Parra,0,U18 JOVENTUT LES CORTS,1,18,1,1,2,0,3,0,1
Irene Parra,0,UMANRESA - MANRESA CBF U18,3,16,1,1,3,1,4,0,0
Judith Gispert,0,CB IPSI A,8,16,0,4,4,2,2,0,0
Sara Besa,0,VEDRUNA GRÀCIA A,0,3,1,0,0,0,0,0,0
Mar Lopez,0,UE SANT CUGAT - OCCIDENT NEGRE,4,14,2,2,2,1,1,0,0
Irene Parra,0,TGN BÀSQUET 07A,4,18,1,0,0,2,6,0,0
Judith Gispert,0,TIR BAGES - C.B ESPARREGUERA,7,19,2,1,3,3,3,0,0
Sara Besa,0,CLUB NATACIO TERRASSA A,2,9,2,0,0,1,3,0,0
Sara Besa,0,JOVENTUT BADALONA B,2,8,1,0,0,1,3,0,0
Mar Lopez,0,CB VALLS SOLIDITY,4,14,5,0,0,2,2,0,0
Judith Gispert,0,DRAFT GRAMENET,1,11,0,1,2,0,0,0,0
Sara Besa,0,NOU BÀSQUET OLESA A,4,10,4,0,0,2,6,0,0
Judith Gispert,0,CÀMPING BIANYA ROSER B,4,21,1,2,4,1,1,0,0
Irene Parra,0,U18 JOVENTUT LES CORTS,0,12,1,0,0,0,0,0,0
Mar Lopez,0,INTERSPORT OLARIA - SAMÀ VILANOVA U18FN,13,24,4,4,6,3,3,1,1
Judith Gispert,0,BASQUET NEUS A,2,17,1,0,0,1,1,0,0
Sara Besa,0,THISTINTAS - C.B GRUP BARNA B,0,11,2,0,0,0,3,0,0
Irene Parra,0,PROMOVIATGES CBF CERDANYOLA U18,5,25,2,1,2,2,6,0,2
Sara Besa,0,JOVENTUT LES CORTS,2,20,1,0,2,1,3,0,1
Judith Gispert,0,U.E. HORTA,5,18,2,3,4,1,1,0,0
Mar Lopez,0,C.B. PRAT - MONTIBELLO A,7,21,3,1,2,3,3,0,0
Judith Gispert,0,FC MARTINENC BÀSQUET A,0,11,5,0,0,0,0,0,0
Sara Besa,0,PETROPINTO ASFE A,0,11,1,0,0,0,1,0,0
Irene Parra,0,DISHELEC 65 VILABÀSQUET VILADECANS,13,29,4,0,2,5,12,1,1
Mar Lopez,0,AB VENDRELL,9,19,1,0,1,3,3,1,1
Irene Parra,0,CB PARETS NEGRE,5,30,4,3,6,1,9,0,1
Sara Besa,0,INTERSPORT OLARIA - SAMÀ VILANOVA SAF,5,24,1,0,2,1,3,1,1
Mar Lopez,0,CB TARRAGONA,8,27,2,0,2,4,4,0,0
Judith Gispert,0,GRAMENET BC,2,15,1,2,2,0,0,0,0
Sara Besa,0,CBU LLORET RECREATIVOS LLORET,6,13,2,0,2,3,5,0,0
Mar Lopez,0,C.E. XAMBA,4,21,3,0,1,2,2,0,0
Irene Parra,0,TGN BÀSQUET 07A,12,24,2,2,3,5,8,0,2
Irene Parra,0,TALENOM BOET MATARÓ 2007,3,23,1,1,2,1,5,0,1
Sara Besa,0,MUSEU DEL COMIC - CASTELLDEFELS A,4,17,2,0,0,2,5,0,0
Mar Lopez,0,TGN BÀSQUET 07-08A,3,18,3,0,0,0,0,1,1
Irene Parra,0,CEJ L'HOSPITALET A,9,33,3,1,2,4,7,0,1
Irene Parra,0,U18 JOVENTUT LES CORTS,8,27,2,0,4,4,10,0,2
Sara Besa,0,CB GRANOLLERS 1,0,15,3,0,0,0,4,0,0
Mar Lopez,0,CB MONTPEDRÓS,6,18,1,0,0,3,3,0,0
Irene Parra,0,CEJ L'HOSPITALET A,5,30,2,1,2,2,8,0,1
Mar Lopez,0,CB VILADECANS VERD,8,16,4,0,2,4,4,0,0
Sara Besa,0,BÀSQUET SAFA CLAROR A,0,8,1,0,0,0,0,0,0
Mar Lopez,0,CLUB NATACIÓ SABADELL A,8,23,2,1,2,2,2,1,1
Irene Parra,0,PROMOVIATGES CBF CERDANYOLA U18,7,18,1,2,2,1,5,1,2
Mar Lopez,0,BÀSQUET SANT SADURNÍ GROC,7,17,2,2,6,1,1,1,1
Irene Parra,0,DISHELEC 65 VILABÀSQUET VILADECANS,11,30,2,0,4,4,4,1,2
Sara Besa,0,VEDRUNA GRÀCIA A,2,15,0,0,0,1,4,0,0
Mar Lopez,0,UE SANT CUGAT - OCCIDENT NEGRE,12,22,2,2,2,2,2,2,2
Irene Parra,0,CB PARETS NEGRE,11,29,2,2,4,3,10,1,1
Sara Besa,0,CLUB NATACIO TERRASSA A,1,11,0,1,2,0,1,0,0
Irene Parra,0,TGN BÀSQUET 07A,15,40,4,3,10,6,14,0,1
Sara Besa,0,JOVENTUT BADALONA B,12,22,4,0,1,6,7,0,0
Irene Parra,0,TALENOM BOET MATARÓ 2007,6,21,5,1,2,1,4,1,2
Mar Lopez,0,CB VALLS SOLIDITY,11,16,2,3,6,4,4,0,0
Judith Gispert,0,DRAFT GRAMENET,9,23,1,5,6,2,2,0,0
Judith Gispert,0,CÀMPING BIANYA ROSER B,7,19,3,3,4,2,2,0,0
Irene Parra,0,UMANRESA - MANRESA CBF U18,3,24,4,1,1,1,3,0,3
Irene Parra,0,UMANRESA - MANRESA CBF U18,3,19,4,1,2,1,4,0,1
Ariadna Garcia,0,EVENTS - CB IGUALADA,9,26,3,0,0,3,6,1,2
Ariadna Garcia,0,CÀMPING BIANYA ROSER A,0,17,3,0,0,0,4,0,2
Ariadna Garcia,0,PROMOVIATGES CBF CERDANYOLA,4,16,5,2,2,1,1,0,4
Ariadna Garcia,0,SD ESPANYOL,6,21,2,1,2,1,3,1,4
Ariadna Garcia,0,TGN BÀSQUET A,10,22,2,4,6,0,2,2,4
Ariadna Garcia,0,SESE - VITALDENT,7,25,1,1,1,3,6,0,5
Ariadna Garcia,0,BARÇA CBS,7,26,4,1,1,3,6,0,3
Ariadna Garcia,0,LOQUILLO FEMENÍ SANT ADRIÀ,8,27,3,0,0,1,2,2,6
Ariadna Garcia,0,DON MARTÍN - DRAFT GRAMENET,7,26,4,1,2,0,3,2,5
Ariadna Garcia,0,MANRESA CBF A,16,27,2,5,7,4,7,1,5
Ariadna Garcia,0,Q2 CONSULTORS CB BALAGUER A,15,28,3,4,4,1,4,3,7
Ariadna Garcia,0,SANT GERVASI 1,7,28,3,0,0,2,3,1,4
Ariadna Garcia,0,WECOLORS AB PREMIÀ,3,19,3,1,1,1,4,0,4
Ariadna Garcia,0,EVENTS - CB IGUALADA,5,18,3,0,0,1,2,1,5
Ariadna Garcia,0,CÀMPING BIANYA ROSER A,11,20,4,1,2,2,3,2,2
Ariadna Garcia,0,PROMOVIATGES CBF CERDANYOLA,6,18,1,3,4,0,1,1,6
Ariadna Garcia,0,SD ESPANYOL,3,11,4,0,0,0,2,1,2
Ariadna Garcia,0,TGN BÀSQUET A,12,20,2,1,2,1,2,3,6
Ariadna Garcia,0,SESE - VITALDENT,5,21,3,0,0,1,4,1,5
Ariadna Garcia,0,BARÇA CBS,2,17,1,0,0,1,5,0,0
Ariadna Garcia,0,LOQUILLO FEMENÍ SANT ADRIÀ,5,23,4,2,6,0,5,1,6
Ariadna Garcia,0,DON MARTÍN - DRAFT GRAMENET,0,19,3,0,2,0,4,0,4
Ariadna Garcia,0,MANRESA CBF A,10,25,2,3,6,2,5,1,5
Ariadna Garcia,0,Q2 CONSULTORS CB BALAGUER A,6,18,2,3,4,0,2,1,7
Ariadna Garcia,0,SANT GERVASI - RENOVA INTERIORS,6,24,3,1,4,1,1,1,4
Ariadna Garcia,0,WECOLORS AB PREMIÀ,4,21,4,1,2,0,3,1,6
Ariadna Garcia,0,WECOLORS AB PREMIÀ,4,24,2,2,4,1,7,0,5
